kamar;bangunan;lahan;harga
4;100;120;1200000000
2;50;72;205000000
3;100;136;1150000000
2;41;126;815000000
5;200;390;3900000000
5;210;105;1200000000
2;95;162;1200000000
4;300;282;3500000000
2;60;84;725000000
3;250;174;2700000000
3;126;115;1400000000
4;112;144;1800000000
8;500;765;22500000000
2;90;117;875000000
4;135;66;1150000000
3;160;200;3000000000
7;236;360;4600000000
3;100;100;1350000000
3;212;156;3250000000
6;317;475;3100000000
4;150;150;1250000000
2;59;70;800000000
4;360;300;3700000000
3;100;156;995000000
4;148;148;2100000000
3;120;132;1260000000
2;60;98;1000000000
2;60;60;499000000
3;89;126;1129000000
3;75;160;1900000000
3;125;86;1400000000
4;104;117;525000000
4;460;525;3700000000
5;500;301;3700000000
3;68;62;830000000
3;95;92;975000000
3;85;175;1049999999
2;66;57;1102000000
4;160;126;2850000000
2;45;70;455500000
5;275;144;3250000000
4;196;191;3050000000
3;142;120;2750000000
4;95;110;1135000000
3;135;122;1650000000
2;29;60;297000000
7;377;353;4300000000
6;330;309;4500000000
3;54;63;730300000
2;65;72;730000000
4;200;165;1400000000
4;295;350;2100000000
2;40;60;165000000
2;38;99;533000000
4;120;221;700000000
3;75;72;950000000
2;65;60;657000000
16;350;210;6900000000
5;240;200;2900000000
2;170;156;3000000000
2;74;80;699000000
3;100;600;10500000000
4;145;129;1200000000
3;95;120;1850000000
3;300;286;3099900000
3;110;69;575000000
5;400;450;7000000000
3;80;84;875000000
3;130;78;1100000000
4;224;148;2500000000
3;100;168;1200000000
3;235;132;1700000000
3;97;162;1750000000
2;66;66;650000000
3;150;122;2500000000
3;165;111;1800000000
4;300;184;4500000000
4;250;298;2900000000
4;110;60;550000000
7;255;250;3500000000
3;150;104;950000000
4;300;352;4500000000
4;120;160;1950000000
3;112;74;1400000000
3;200;743;4900000000
2;42;59;646990000
3;120;80;850000000
4;336;396;6000000000
3;280;180;2750000000
6;331;138;900000000
4;160;120;2750000000
4;160;112;2700000000
3;75;84;600000000
7;130;135;1300000000
4;150;110;850000000
2;51;90;1001000000
3;190;180;2300000000
3;83;120;1200000000
4;165;178;2200000000
4;131;210;2900000000
3;120;77;1700000000
4;280;180;3100000000
4;110;96;850000000
4;250;248;4500000000
2;36;60;231000000
5;158;220;6500000000
3;100;182;3276000000
4;244;120;3200000000
4;300;215;3900000000
2;60;72;275000000
2;117;86;575000000
3;260;350;2200000000
5;1300;3800;5000000000
2;36;66;355000000
3;300;200;3750000000
3;127;98;1000000000
4;176;135;2800000000
2;36;62;200000000
0;1300;689;5200000000
2;60;60;200000000
3;90;150;650000000
3;120;104;1600000000
4;330;200;3000000000
2;72;72;350000000
6;1200;1036;15000000000
5;350;284;3000000000
5;300;300;1700000000
4;122;140;749900000
2;36;60;195000000
2;50;5;700000000
3;60;73;820000000
4;132;102;1550000000
4;250;163;3550000000
2;50;60;525000000
4;300;224;2250000000
2;70;90;525000000
3;63;63;541000000
6;240;88;1300000000
5;300;295;2000000000
2;40;61;450000000
2;55;72;770000000
2;61;78;750000000
8;350;276;4075000000
5;340;635;3900000000
4;220;197;1500000000
6;300;170;1250000000
4;145;125;2650000000
3;110;146;2300000000
5;97;67;900000000
5;300;250;2700000000
2;40;60;165000000
3;130;100;1500000000
5;250;176;2200000000
2;100;120;1580000000
5;620;235;3950000000
2;45;93;474100000
4;325;235;3200000000
3;120;166;2450000000
4;87;84;650000000
4;200;142;2600000000
5;190;135;2950000000
5;365;489;5500000000
2;97;112;1975000000
4;200;185;1750000000
2;56;77;532000000
4;200;180;1800000000
3;87;109;1200000000
4;260;198;3300000000
3;75;84;500000000
2;36;70;450000000
2;65;60;657000000
4;156;160;3250000000
5;105;109;1700000000
8;335;188;900000000
3;50;78;550000000
2;50;76;553000000
3;135;111;1850000000
2;36;63;380000000
5;140;132;800000000
4;122;122;1000000000
2;64;90;265000000
2;40;76;425000000
7;900;600;13500000000
3;100;122;950000000
3;80;96;750000000
4;200;200;3025000000
5;248;300;6000000000
3;122;60;550000000
2;45;71;899000000
3;100;126;1400000000
4;300;261;2300000000
3;359;248;4900000000
3;50;63;584990000
3;159;130;735000000
6;300;226;3600000000
4;150;180;2200000000
5;160;100;1980000000
4;160;126;1750000000
2;45;48;750000000
2;48;87;695000000
4;175;120;2800000000
3;260;183;2250000000
2;80;70;710000000
4;400;260;5500000000
2;100;64;600000000
4;180;164;2100000000
2;52;67;701222193
3;50;60;428000000
3;50;62;773000000
2;36;64;500000000
4;200;200;3000000000
3;80;108;900000000
3;155;108;1725000000
2;180;123;1950000000
